id,timestamp,latency_ns,url,method,status_code
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.696535502+08:00,3589380,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.701264523+08:00,427335,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.706269108+08:00,407420,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.711704007+08:00,935970,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.716230583+08:00,832838,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.721221269+08:00,493941,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.726276457+08:00,424341,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.732223702+08:00,649833,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.736217465+08:00,396120,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.742287271+08:00,446368,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.747117718+08:00,441699,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.751907862+08:00,482379,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.756895039+08:00,563423,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.762044979+08:00,408512,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.767109929+08:00,467893,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.772027708+08:00,628797,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.777184537+08:00,423936,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.78114736+08:00,387313,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.786164497+08:00,495052,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.791899298+08:00,439786,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.796205661+08:00,1000580,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.802057611+08:00,859655,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.806501499+08:00,440609,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.811292531+08:00,786310,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.81701861+08:00,1166871,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.821820224+08:00,556895,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.826968226+08:00,480579,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.832372363+08:00,773066,http://127.0.0.1:8081/bytes/:5,GET,400
97b12e36-0980-4f8c-affb-57b4929ffe50,2026-03-29T21:01:57.836932067+08:00,1195041,http://127.0.0.1:8081/bytes/:5,GET,400
